t,Ax,Ay,Az,wx,wy,wz,Bx,By,Bz,qw,qx,qy,qz,
39.64028931,-0.69,1.04,9.31,2.19,-8.38,12.13,20.25,-9.06,-40,-0.65,-0.02,-0.07,-0.76,
39.96718287,-0.94,1.43,9.85,1.13,16.88,4.69,19.06,-10.56,-38.38,-0.63,-0.01,-0.09,-0.77,
40.29131603,-0.97,1.26,9.39,1.94,-3.38,6.63,18.75,-11,-37.56,-0.61,0,-0.09,-0.78,
40.61844373,-0.4,1.36,9.18,-0.13,-3.06,4.19,16.88,-12.5,-37.56,-0.6,-0.03,-0.08,-0.79,
40.94357181,-0.87,1.27,9.32,-4.81,10.13,-2.94,16.06,-11.69,-36.75,-0.6,0,-0.08,-0.8,
41.26973271,-1.04,1.12,9.5,-1.56,-16.25,0.56,16.88,-9.5,-35.88,-0.61,0,-0.08,-0.79,
41.59421539,-0.04,1.22,9.79,2.63,8.19,-6.94,12.06,-9.75,-36.5,-0.6,-0.02,-0.06,-0.8,
41.92095876,-1.17,1.05,10.87,10.5,36.56,38,15.75,-10.19,-33.56,-0.58,0.02,-0.1,-0.81,
42.24709153,-0.73,1.79,9.6,-3.25,-28.5,43.94,14.69,-13.19,-33.25,-0.48,-0.01,-0.11,-0.87,
42.57221746,-0.07,1.19,9.17,-16.81,25,31,8.38,-15.06,-34.06,-0.37,-0.02,-0.07,-0.93,
42.89837861,-1.76,0.74,9.8,-5.38,23.25,29.56,12.06,-14.06,-34,-0.28,0.08,-0.07,-0.95,
43.22419429,-0.2,0.98,9.42,9.31,-48.5,19.94,7.19,-16.56,-34.75,-0.21,0,-0.07,-0.98,
43.54943871,0.28,1.59,9.34,7.5,44.19,-0.94,2,-18.5,-33.5,-0.18,-0.02,-0.08,-0.98,
43.87489843,-2.34,1.66,8.71,3.63,2.75,-6.75,12.69,-18.5,-31.56,-0.19,0.1,-0.12,-0.97,
44.19999599,0.02,1.72,9.81,-4.88,-51.63,3.94,7.5,-19.25,-32,-0.19,-0.02,-0.1,-0.98,
44.52620006,-0.18,1.25,9.35,-18.63,54.19,-14.13,5.69,-17,-34.38,-0.21,0.01,-0.07,-0.98,
44.85127163,-1.8,0.23,9.46,4.56,-26.25,-3.31,12.38,-14.06,-34,-0.23,0.08,-0.05,-0.97,
45.17742109,0.39,1.3,9.22,15.94,-19.31,-3.69,5.25,-15.88,-34.69,-0.23,-0.03,-0.06,-0.97,
45.50273085,-1.03,1.55,9.34,2.5,46.69,-14.81,7.5,-17.38,-32.38,-0.26,0.03,-0.1,-0.96,
45.82989383,-1.46,1.23,9.44,-14.69,-38.94,-5.38,11.56,-14.38,-32,-0.28,0.05,-0.08,-0.96,
46.1541698,0.44,0.57,9.53,-3.44,0.44,-7.31,5.75,-12.88,-35,-0.3,-0.03,-0.03,-0.95,
46.48097014,-1.41,0.71,9.27,11.06,26.94,-8.5,11.25,-12.19,-33.06,-0.32,0.05,-0.06,-0.94,
46.80612659,-0.89,1.74,9.39,15.69,-33.06,-0.25,11.69,-14.06,-32.25,-0.33,0.01,-0.09,-0.94,
47.13219047,-0.21,1.89,9.47,-7.25,22.31,-10.63,8.69,-15.19,-32.56,-0.35,-0.02,-0.1,-0.93,
47.4575026,-1.58,1.07,9.44,-12.06,-6.38,-6.44,13.19,-13.25,-32.19,-0.37,0.04,-0.08,-0.92,
47.78349853,-0.04,0.85,9.25,-2.19,-16.56,-3.63,9.69,-11.75,-33.19,-0.39,-0.01,-0.04,-0.92,
48.10858107,-0.97,0.76,9.87,5.81,24.81,-9.19,11.19,-11.06,-33.56,-0.4,0.02,-0.06,-0.91,
48.43470645,-0.95,1.49,9.1,13.13,-13.31,-3.06,13.06,-12.56,-32.5,-0.42,0.01,-0.09,-0.9,
48.75987315,-0.56,1.83,9.54,-0.06,2.44,-6.06,11.19,-13.69,-33.69,-0.43,-0.01,-0.1,-0.9,
49.0861609,-1.07,1.31,9.21,-11.31,5.13,-7.5,13.5,-12.56,-32.88,-0.45,0.02,-0.09,-0.89,
49.41171885,-0.59,0.72,9.53,-5.31,-18.19,-2.63,12.69,-11,-34.06,-0.46,0.01,-0.05,-0.88,
49.73617673,-0.59,0.96,9.64,7.44,13.38,-6.75,12.69,-9.5,-34.06,-0.48,0,-0.06,-0.88,
50.06240535,-1.42,1.39,9.48,11.38,5.25,-4,15,-11.38,-33.19,-0.49,0.03,-0.1,-0.87,
50.38849568,-0.48,1.8,9.15,1.5,-22.81,-1.19,13.5,-13.19,-32.88,-0.5,-0.03,-0.09,-0.86,
50.714221,-0.66,1.5,9.29,-13.63,24.06,-10.5,12,-12.06,-34.38,-0.51,-0.01,-0.08,-0.86,
51.0403738,-1.26,0.61,9.78,-4.19,-14.44,-5.69,16.75,-8.38,-34.06,-0.53,0.03,-0.07,-0.85,
51.36524129,-0.16,0.91,9.25,9.38,-10,-5.56,13.06,-8.5,-36.38,-0.54,-0.02,-0.05,-0.84,
