t,Ax,Ay,Az,wx,wy,wz,Bx,By,Bz
51007.69090652466,3.24,-1.54,9.10,-0.06,-0.06,0.06,-7.00,-7.06,-53.25
51326.242446899414,3.21,-1.54,9.09,-0.06,0.06,-0.06,-5.88,-6.69,-52.56
51644.18983459473,3.23,-1.57,9.09,-0.06,-0.13,0.00,-6.56,-5.25,-52.56
51960.34574508667,3.23,-1.54,9.11,0.06,-0.13,0.00,-6.25,-6.69,-52.88
52279.491662979126,3.22,-1.53,9.09,0.00,-0.31,-0.06,-6.25,-5.56,-51.38
52596.89450263977,3.23,-1.55,9.11,0.13,0.00,0.13,-6.56,-7.38,-51.75
52914.32523727417,3.23,-1.55,9.11,0.00,0.00,0.06,-5.88,-7.06,-51.75
53231.881856918335,3.23,-1.54,9.11,0.00,0.00,0.06,-6.25,-6.25,-51.38
53549.190521240234,3.23,-1.55,9.10,-0.06,-0.06,0.06,-6.25,-6.69,-52.19
53866.62411689758,3.21,-1.55,9.11,0.13,-0.19,-0.06,-6.25,-7.06,-52.19
54184.91530418396,3.21,-1.54,9.05,0.00,-0.06,-0.06,-5.88,-5.88,-52.88
54503.233671188354,3.21,-1.55,9.12,-0.06,0.06,0.19,-6.56,-6.69,-51.38
54822.29518890381,3.22,-1.55,9.10,-0.06,-0.31,0.06,-6.56,-7.06,-52.19
55138.800621032715,3.23,-1.55,9.09,0.06,0.13,0.06,-5.88,-5.88,-52.88
55457.20672607422,3.22,-1.54,9.09,-0.06,0.25,0.00,-5.88,-5.25,-51.75
55777.06480026245,3.22,-1.56,9.11,0.00,-0.25,0.00,-6.25,-6.69,-51.75
56096.15755081177,3.23,-1.54,9.10,0.19,-0.06,0.00,-5.88,-5.56,-52.19
56413.6106967926,3.23,-1.55,9.10,-0.13,0.13,-0.13,-6.56,-6.25,-53.25
56731.409549713135,3.23,-1.53,9.07,0.06,-0.13,0.13,-5.88,-7.06,-52.88
57050.912618637085,3.22,-1.56,9.11,-0.13,-0.13,0.13,-7.00,-6.69,-51.38
57372.522830963135,3.22,-1.55,9.11,-0.13,-0.06,0.06,-6.25,-7.06,-52.88
57690.672159194946,3.22,-1.56,9.09,0.06,-0.06,0.00,-6.25,-6.25,-52.19
58006.826639175415,3.24,-1.54,9.09,0.00,-0.13,0.00,-5.88,-7.06,-51.75
58323.979139328,3.22,-1.56,9.11,0.06,0.00,0.00,-5.88,-6.69,-52.19
58644.123792648315,3.21,-1.54,9.10,-0.06,0.00,-0.06,-6.56,-6.69,-52.56
58960.278272628784,3.23,-1.54,9.10,-0.06,0.38,0.00,-6.25,-7.06,-52.19
59277.677059173584,3.22,-1.54,9.12,0.00,0.06,-0.13,-6.25,-5.88,-52.56
59596.90022468567,3.23,-1.55,9.09,0.00,0.13,0.13,-6.25,-6.69,-52.19
59913.140058517456,3.22,-1.53,9.09,-0.13,0.00,-0.06,-6.25,-5.56,-52.19
60230.61418533325,3.22,-1.56,9.08,0.06,0.13,0.06,-5.88,-6.25,-52.19
60549.09133911133,3.23,-1.54,9.11,0.00,0.06,-0.13,-6.25,-5.88,-52.19
60865.69094657898,3.23,-1.56,9.09,0.00,-0.06,0.00,-7.38,-6.69,-51.75
61183.374881744385,3.21,-1.55,9.11,0.13,0.00,-0.13,-5.56,-7.06,-53.25
61501.96695327759,3.22,-1.58,9.08,0.13,-0.19,-0.13,-5.88,-6.69,-51.75
61818.83215904236,3.23,-1.55,9.11,0.06,0.06,0.13,-7.00,-6.25,-51.75
62135.629415512085,3.22,-1.55,9.10,0.06,0.00,0.00,-5.88,-6.69,-51.38
62454.65350151062,3.23,-1.55,9.10,-0.06,-0.06,-0.06,-7.00,-6.69,-51.38
62771.806478500366,3.22,-1.55,9.10,-0.06,0.00,0.13,-5.88,-7.06,-51.38
63088.95754814148,3.22,-1.52,9.08,0.06,0.19,-0.06,-6.56,-7.75,-52.19
63406.90040588379,3.23,-1.53,9.06,0.00,0.13,0.06,-5.56,-6.25,-51.75
63723.05607795715,3.21,-1.55,9.11,-0.06,-0.13,0.00,-6.56,-7.38,-52.88
64040.2934551239,3.23,-1.56,9.10,0.13,0.19,0.06,-7.38,-7.06,-52.19
64358.972787857056,3.23,-1.54,9.07,0.00,-0.06,0.06,-6.56,-6.69,-53.25
64675.69971084595,3.21,-1.55,9.08,0.00,-0.19,0.06,-7.38,-6.69,-52.19
64993.170499801636,3.21,-1.53,9.11,-0.19,-0.06,0.13,-6.25,-5.88,-53.25
65312.27970123291,3.22,-1.55,9.08,0.13,0.19,0.13,-5.56,-7.06,-52.19
65628.64661216736,3.22,-1.55,9.09,0.06,-0.06,-0.06,-7.00,-7.06,-51.75
65945.39546966553,3.21,-1.53,9.11,0.00,0.06,0.13,-6.25,-6.69,-52.56
66264.88494873047,3.23,-1.58,9.08,-0.06,0.31,0.06,-6.25,-7.38,-51.38
66580.82151412964,3.23,-1.56,9.10,-0.13,0.00,0.00,-5.88,-5.88,-52.19
66897.59826660156,3.21,-1.56,9.10,0.00,-0.06,0.06,-6.25,-6.25,-51.75
67216.59398078918,3.23,-1.54,9.07,-0.06,0.13,0.06,-5.88,-5.56,-52.19
67533.52665901184,3.23,-1.56,9.11,0.06,0.13,-0.06,-6.56,-7.06,-52.88
67856.66561126709,3.23,-1.54,9.09,0.06,0.00,0.00,-6.25,-7.06,-51.38
68168.83039474487,3.21,-1.54,9.09,-0.06,0.06,0.00,-5.88,-6.25,-52.56
68490.96941947937,3.21,-1.57,9.13,0.00,-0.06,0.06,-5.88,-6.25,-52.19
68802.94370651245,3.21,-1.54,9.10,0.00,0.06,-0.13,-5.88,-6.69,-51.00
69122.08843231201,3.22,-1.55,9.10,-0.06,-0.06,-0.06,-6.25,-7.06,-52.56
69438.24243545532,3.21,-1.55,9.10,0.00,0.06,0.13,-7.00,-5.88,-51.75
69755.79977035522,3.22,-1.55,9.12,0.00,-0.13,0.06,-6.25,-4.88,-52.56
70074.65410232544,3.21,-1.54,9.07,0.00,0.13,-0.06,-6.25,-7.06,-51.38
70391.06678962708,3.23,-1.55,9.11,0.13,-0.13,-0.13,-6.56,-6.25,-51.75
70708.05978775024,3.22,-1.56,9.10,-0.06,-0.19,-0.06,-6.25,-7.06,-51.38
71026.09729766846,3.21,-1.56,9.10,0.06,0.13,0.06,-6.56,-6.69,-52.56
71343.36280822754,3.23,-1.55,9.12,0.06,-0.06,0.06,-6.25,-5.88,-52.19
71659.82508659363,3.22,-1.56,9.10,-0.13,0.00,0.06,-6.25,-6.25,-52.19
71978.65390777588,3.22,-1.53,9.11,-0.06,-0.19,0.06,-6.56,-6.69,-52.88
72295.1021194458,3.22,-1.55,9.11,0.06,0.00,0.06,-6.56,-6.25,-52.19
72612.20359802246,3.22,-1.54,9.10,-0.06,-0.06,0.00,-6.25,-5.56,-52.56
72930.52768707275,3.22,-1.55,9.09,0.06,0.13,0.00,-6.25,-7.06,-51.38
73247.12944030762,3.20,-1.55,9.11,-0.13,0.13,0.00,-6.56,-7.38,-52.19
73564.61763381958,3.21,-1.54,9.11,-0.13,0.06,0.13,-7.00,-5.56,-52.19
73883.3954334259,3.21,-1.55,9.11,-0.06,0.00,0.00,-6.25,-5.25,-51.38
74199.67937469482,3.21,-1.54,9.11,-0.13,0.19,0.06,-6.25,-6.25,-51.75
74516.46089553833,3.22,-1.54,9.09,0.06,0.06,0.06,-6.25,-7.38,-52.19
74834.95688438416,3.21,-1.56,9.05,0.06,0.00,0.06,-6.56,-5.88,-51.00
75151.93557739258,3.22,-1.56,9.09,-0.13,-0.06,0.06,-5.56,-6.25,-51.75
75469.00653839111,3.22,-1.55,9.11,-0.06,0.00,0.13,-7.00,-7.06,-51.75
75788.32197189331,3.22,-1.53,9.08,0.06,-0.13,-0.06,-6.56,-6.25,-52.19
76104.78234291077,3.22,-1.55,9.10,0.00,-0.06,-0.19,-6.25,-5.88,-52.88
76421.76985740662,3.20,-1.55,9.11,-0.06,0.13,0.00,-5.88,-5.88,-52.56
76740.70835113525,3.23,-1.53,9.09,-0.06,-0.06,-0.13,-6.25,-7.38,-52.88
77057.83653259277,3.21,-1.55,9.12,-0.06,0.06,0.00,-6.56,-6.25,-51.75
77374.74989891052,3.20,-1.54,9.11,0.06,0.06,0.06,-5.88,-6.69,-52.19
77692.89898872375,3.23,-1.55,9.09,0.06,0.00,0.00,-6.56,-7.38,-51.75
78009.50503349304,3.22,-1.57,9.11,-0.06,-0.13,0.00,-5.88,-6.25,-52.19
78326.56621932983,3.20,-1.56,9.11,0.00,0.00,0.06,-6.56,-5.88,-51.75
78644.83213424683,3.22,-1.54,9.08,-0.13,0.06,0.06,-5.56,-6.69,-52.19
78961.98344230652,3.20,-1.55,9.08,-0.06,-0.13,0.00,-5.56,-7.06,-52.56
79278.68461608887,3.21,-1.55,9.10,0.13,0.13,0.06,-5.19,-7.06,-51.38
79597.50962257385,3.22,-1.55,9.10,0.13,-0.13,0.00,-5.56,-6.69,-52.56
79914.29710388184,3.21,-1.53,9.13,-0.06,0.00,0.00,-6.25,-5.56,-51.75
80231.15563392639,3.21,-1.54,9.09,0.00,-0.06,0.00,-5.88,-5.56,-53.00
80550.39119720459,3.24,-1.50,9.10,0.13,0.50,0.00,-7.00,-5.88,-52.56
80866.33729934692,3.19,-1.53,9.10,0.06,-0.25,0.00,-5.88,-7.06,-51.38
81183.78829956055,3.21,-1.54,9.11,-0.06,-0.13,-0.06,-5.88,-7.06,-53.00
81502.43759155273,3.21,-1.57,9.10,0.13,-0.06,0.13,-6.56,-6.69,-51.38
81818.59636306763,3.23,-1.54,9.08,0.00,0.06,0.00,-6.56,-5.56,-52.56
82136.0228061676,3.19,-1.55,9.10,-0.06,-0.13,-0.06,-6.25,-5.56,-52.56
82455.4054737091,3.19,-1.54,9.10,0.06,-0.19,0.13,-6.25,-6.69,-52.19
82772.17864990234,3.20,-1.55,9.09,0.06,0.00,-0.06,-6.56,-7.06,-52.19
83088.50455284119,3.19,-1.55,9.10,-0.06,0.00,0.06,-6.56,-6.69,-51.75
83408.15949440002,3.21,-1.54,9.08,-0.06,-0.25,0.06,-6.25,-5.25,-52.56
83724.49040412903,3.19,-1.53,9.10,-0.06,-0.06,0.00,-6.25,-6.25,-52.56
84040.67611694336,3.21,-1.54,9.11,-0.19,0.13,0.06,-6.56,-6.25,-53.38
84359.43078994751,3.23,-1.54,9.07,0.00,0.00,0.06,-5.56,-6.25,-53.38
84676.65338516235,3.20,-1.54,9.10,0.00,-0.06,0.00,-5.88,-5.25,-52.19
84993.64185333252,3.19,-1.54,9.11,0.00,-0.06,-0.13,-5.19,-7.06,-51.38
85312.31093406677,3.21,-1.55,9.10,0.06,-0.06,0.00,-6.25,-5.56,-51.75
85629.24218177795,3.21,-1.54,9.11,-0.13,0.06,0.13,-6.25,-5.56,-52.19
85945.86634635925,3.20,-1.55,9.09,0.00,0.13,0.00,-7.00,-5.25,-52.19
86265.00058174133,3.19,-1.53,9.10,0.00,0.06,0.19,-6.56,-6.25,-51.75
86581.46810531616,3.20,-1.54,9.11,0.00,-0.06,-0.06,-6.25,-5.88,-51.38
86898.55003356934,3.21,-1.57,9.10,0.00,-0.06,0.06,-6.56,-5.88,-53.00
87218.07765960693,3.19,-1.55,9.08,0.13,-0.19,0.00,-5.88,-6.69,-51.75
87534.66534614563,3.20,-1.56,9.13,-0.06,0.13,0.00,-6.25,-6.69,-51.75
87850.82006454468,3.23,-1.53,9.11,0.06,0.00,0.13,-6.25,-7.06,-52.19
88172.96147346497,3.20,-1.54,9.07,0.00,0.06,0.00,-6.25,-6.25,-52.19
88489.11476135254,3.20,-1.53,9.11,-0.06,-0.13,0.00,-5.88,-5.25,-53.00
88803.27439308167,3.22,-1.55,9.11,0.00,-0.13,0.00,-6.56,-5.88,-52.19
89122.4217414856,3.21,-1.56,9.08,0.00,0.00,0.00,-6.25,-5.88,-52.19
89438.66348266602,3.20,-1.55,9.11,0.00,0.06,-0.06,-5.88,-5.88,-51.75
89755.6324005127,3.20,-1.56,9.11,0.00,0.06,-0.06,-6.25,-7.38,-51.75
